label,count,delta_js_true_mean,delta_js_true_median,delta_js_true_std,delta_js_shuffled_mean,delta_js_shuffled_median,delta_js_shuffled_std,delta_mass_mean,delta_mass_median,delta_mass_std,delta_mass_shuffled_mean,delta_mass_shuffled_median,delta_mass_shuffled_std,delta_laer_mean,delta_laer_median,delta_laer_std,delta_laer_shuffled_mean,delta_laer_shuffled_median,delta_laer_shuffled_std,gt_gain_mean,laer_edge_count_mean
positive,125,-0.020729736484587192,-0.009399265050888062,0.026631236149903176,0.0001884608268737793,-0.00017431378364562988,0.003560788965359475,-0.0032997279170554825,-0.0022672041013720445,0.005359639061724526,-0.0013607265899623848,-0.0008911836848710664,0.004010863100540405,-0.0021876688610875028,-0.0012675663814521753,0.003295994446240973,-0.0008591668077717828,-0.00046531493334393825,0.002474337855705827,1.2,12326.912
neutral,70,-0.028047353508216993,-0.017104700207710266,0.035321398465906886,-0.00030097365379333496,0.0003024190664291382,0.007525773701177462,-0.0017817355356811344,-0.0007033336991702933,0.004120699761101316,-0.0006400016301767623,-4.0492968546459226e-05,0.0037990822733748055,-0.0010572832941820247,-0.0005584120454538305,0.0025359735508073173,-0.000469101037679994,-2.041907930712362e-05,0.0026179907869386503,0.0,13626.514285714286
harmful,21,-0.025314606903564362,-0.012766346335411072,0.03434204564741051,-0.0008378128210703532,-0.00037032365798950195,0.005332663098209885,0.0015271852862257232,0.0008359642597497441,0.0033290871834452474,0.0014905293394616194,0.00129212650062982,0.002527084943455098,0.0007963526204208336,0.0004146430867666244,0.0016831688689387708,0.0007015832421755538,0.0003170638239749198,0.0011453295913628305,-1.2857142857142858,20291.04761904762
