scope,layer,seed,method,token_accuracy,bleu,completed_sample_count,failed_sample_count,valid_complete
main,17,42,B0,0.8362867977980861,0.649886690413142,100,0,True
main,17,42,B0_SPARSE,0.8671823345578347,0.7149645472814578,100,0,True
main,17,42,B0_LAER,0.8638796553949255,0.7072642773694967,100,0,True
main,17,42,B0_SHUFFLED_LAER,0.8559766879040397,0.6923447287724487,100,0,True
main,17,43,B0,0.8333781067817216,0.6369796774047131,100,0,True
main,17,43,B0_SPARSE,0.8649147819587305,0.7063086838510977,100,0,True
main,17,43,B0_LAER,0.8657093026387643,0.7079644177881579,100,0,True
main,17,43,B0_SHUFFLED_LAER,0.8549161804361195,0.6845959773665167,100,0,True
main,17,44,B0,0.8448579669043433,0.6602350605064299,100,0,True
main,17,44,B0_SPARSE,0.8720939198272217,0.7200173139331859,100,0,True
main,17,44,B0_LAER,0.8719883197815345,0.7181884304026952,100,0,True
main,17,44,B0_SHUFFLED_LAER,0.8627142557762965,0.6995475113364407,100,0,True
robustness,11,42,B0,0.7837544561039621,0.6116115970949696,100,0,True
robustness,11,42,B0_SPARSE,0.8236995639373234,0.6846160704836378,100,0,True
robustness,11,42,B0_LAER,0.8215233237791465,0.6817910395227074,100,0,True
robustness,11,42,B0_SHUFFLED_LAER,0.8161595913870483,0.6636097226037989,100,0,True
robustness,19,42,B0,0.8346510052086745,0.6374169351354685,100,0,True
robustness,19,42,B0_SPARSE,0.8592149150813763,0.6937784815841463,100,0,True
robustness,19,42,B0_LAER,0.858724062084472,0.6888549485388729,100,0,True
robustness,19,42,B0_SHUFFLED_LAER,0.849756972770552,0.6713731931482948,100,0,True
